time;load1;load5;load15;running processes;num processes;last PID
Fri Jul 20 22:52:20 2012;1.03;1.32;1.43;4;901;32531
Fri Jul 20 22:52:21 2012;1.03;1.32;1.43;4;901;32553
Fri Jul 20 22:52:22 2012;1.03;1.32;1.43;4;901;32570
Fri Jul 20 22:52:23 2012;1.11;1.33;1.44;4;901;32591
Fri Jul 20 22:52:24 2012;1.11;1.33;1.44;3;901;32608
Fri Jul 20 22:52:25 2012;1.11;1.33;1.44;3;901;32628
Fri Jul 20 22:52:26 2012;1.11;1.33;1.44;7;901;32645
Fri Jul 20 22:52:27 2012;1.11;1.33;1.44;4;901;32665
Fri Jul 20 22:52:28 2012;1.42;1.39;1.46;5;902;32683
Fri Jul 20 22:52:29 2012;1.42;1.39;1.46;2;901;32714
Fri Jul 20 22:52:30 2012;1.42;1.39;1.46;6;901;32731
Fri Jul 20 22:52:31 2012;1.42;1.39;1.46;3;901;32751
Fri Jul 20 22:52:32 2012;1.42;1.39;1.46;1;902;301
Fri Jul 20 22:52:33 2012;1.39;1.38;1.45;4;901;320
Fri Jul 20 22:52:34 2012;1.39;1.38;1.45;7;902;343
Fri Jul 20 22:52:35 2012;1.39;1.38;1.45;7;901;364
